regcap_amount,esdate,ipo_company,company_industry,company_type
NULL,2011-08-31,null,F,个体
NULL,2016-11-03,null,R,个体
NULL,2013-03-27,null,O,个体
3000000.0,2017-05-21,null,E,有限责任公司（自然人独资）
NULL,2010-02-05,null,F,个体
1000000.0,2013-04-18,null,L,有限责任公司（自然人投资或控股）
2000000.0,2014-11-11,null,F,有限责任公司（自然人独资）
NULL,2014-07-23,null,F,个体
NULL,2012-12-06,null,O,个体
NULL,2013-12-25,null,F,个体
500000.0,2016-09-12,null,O,有限责任公司（自然人独资）
NULL,2012-03-20,null,F,个体
10000000.0,2008-06-11,null,K,有限责任公司（自然人投资或控股）
NULL,2007-09-17,null,F,个体
NULL,2005-06-15,null,H,个体
NULL,2013-12-25,null,F,个体
NULL,2009-03-10,null,F,个体
NULL,2007-02-09,null,O,个体
NULL,2009-05-22,null,C,个体
NULL,2016-09-26,null,O,个体
500000.0,2015-01-28,null,K,有限责任公司（自然人投资或控股）
NULL,2005-07-04,null,K,个体
NULL,2005-04-20,null,F,个体
NULL,2006-04-06,null,C,个体
NULL,2009-01-23,null,F,个体
NULL,2014-04-16,null,I,其他股份有限公司分公司（非上市）
500000.0,2010-06-02,null,E,有限责任公司（自然人投资或控股）
30000.0,2015-09-08,null,Q,有限责任公司（自然人投资或控股）
NULL,2005-07-25,null,H,个体
20000000.0,2013-06-24,null,L,有限责任公司（自然人投资或控股）
2000000.0,2018-01-10,null,I,有限责任公司（自然人独资）
NULL,2009-05-20,null,F,个体
NULL,2015-04-21,null,F,个体
500000.0,1998-12-23,null,I,有限责任公司（自然人投资或控股）
2000000.0,2015-11-09,null,F,有限责任公司（自然人投资或控股）
10000000.0,2017-06-28,null,L,有限责任公司（自然人独资）
NULL,2012-01-10,null,F,有限责任公司分公司（自然人投资或控股）
1000000.0,2009-01-12,null,F,有限责任公司（自然人投资或控股）
1000000.0,2012-03-31,null,F,有限责任公司（自然人投资或控股）
500000.0,2009-09-27,null,L,有限责任公司（自然人投资或控股）
NULL,2006-11-21,null,F,个体
5000000.0,2017-11-13,null,F,有限责任公司（自然人投资或控股）
NULL,2013-04-02,null,A,个体
1000000.0,2014-05-13,null,I,有限责任公司（自然人投资或控股）
50000000.0,2013-05-22,null,K,其他有限责任公司
NULL,2014-02-24,null,F,个体
NULL,2017-11-10,null,F,个体
NULL,2005-11-08,null,I,个人独资企业
5000000.0,2017-08-10,null,L,有限责任公司（自然人独资）
NULL,2017-11-28,null,F,个体
2000000.0,2016-05-20,null,M,有限责任公司（自然人投资或控股）
1000000.0,2016-04-18,null,F,有限责任公司（自然人投资或控股）
NULL,2008-11-07,null,R,个体
NULL,2016-05-30,null,F,个体
NULL,2008-01-25,null,H,个体
18880000.0,2013-01-17,null,E,其他有限责任公司
NULL,2012-10-12,null,F,个体
NULL,2017-09-20,null,F,个体
500000.0,2010-09-27,null,E,有限责任公司（自然人投资或控股）
NULL,2014-02-17,null,F,个体
NULL,2000-01-19,null,F,个体
500000.0,2012-03-28,null,L,有限责任公司（自然人投资或控股）
NULL,2015-03-23,null,F,个体
NULL,2013-11-19,null,F,个体
500000.0,2013-12-12,null,I,有限责任公司（自然人投资或控股）
